tlw,tw,tw,tw,toru,dtl,doortl,doortr,dtr,toru,tw,tw,tw,trw
torl,fped1,fped1fire,f31,f,fcoldb0,f,f,fcoldb0,f2,f2,f2,f2pot,torr
lw,f,f,f,f,f,f,f,f,fcoldo1,fped1fire,fcoldb1,fcoldo1,rw
lw,f,f,f,f,f,f,fcands,f,f,f,f,f,rw
dlu,fcoldb1,f,f,f,f,f,f,f,f,f,f,f,dru
doorul,f,f,f,fcoltb1,f,fcoftb1,f,fcoftb1,f,fcoltb1,raf,f,doorur
doorll,f,f2,f,dftl,dfu,dfu,dfu,dfu,dfu,dftr,f,f,doorlr
dll,f,f,f,dfl,fcands,f,fped1heal,f,fcands,dfr,f,f,drl
lw,f,fcoltb1,f,dfbl,dfd,dfd,dfd,dfd,dfd,dfbr,raf,f,rw
lw,f,fcoltb1,f,f,f,f,f,f,f,f,f,f,rw
lw,f,fcoltb1,f,fcoltb1,raf,fcoftb1,f,fcoftb1,f,fcoltb1,f,f,rw
lw,f,fcoltb1,f,f,f,f,f,f,f,f,f,f,rw
lw,f,fcoltb1,fcoltb2,fcoltb1,f,f,f,f,f,f,fped1heal,fped2heal,rw
lw,fpot2,f,f,f,fcoltb0,f,fcolib1,f,f,f,f,f,rw
lw,f,f,f,f,f,fcsltb1,fcsltb0,f,f2enemy,f,f,f2enemy4,rw
torl,fcoldb1,fped1fire,fcfltu1,fcoltb1,fcfltu0,f,f,fcoltu1,fcoltb1,f,fped1fire,fcoldb1,torr
blw,bw,bw,bw,tord,dbl,doorbl,doorbr,dbr,tord,bw,bw,bw,brw
